,,,,,,,,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Expected,Expected,Expected,Expected,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,,-additional
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,npxG+xA,xG,xA,xG+xA,npxG,npxG+xA,Matches,-9999
413,Jimmy Cabot,fr FRA,DF,Angers,fr Ligue 1,27,1994,24,24,2008,22.3,0,5,0,0,0,4,0,0.00,0.22,0.22,0.00,0.22,0.6,0.6,2.4,3.0,0.03,0.11,0.14,0.03,0.14,Matches,46359159
414,Jovane Cabral,cv CPV,FW,Lazio,it Serie A,23,1998,3,2,190,2.1,1,0,1,0,0,0,0,0.47,0.00,0.47,0.47,0.47,0.9,0.9,0.5,1.4,0.43,0.22,0.65,0.43,0.65,Matches,e34e086c
415,Leandro Cabrera,uy URU,DF,Espanyol,es La Liga,30,1991,37,37,3330,37.0,2,0,2,0,0,7,0,0.05,0.00,0.05,0.05,0.05,1.3,1.3,0.3,1.6,0.04,0.01,0.04,0.04,0.04,Matches,69cbc8b6
416,Liberato Cacace,nz NZL,DF,Empoli,it Serie A,20,2000,10,5,466,5.2,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.01,0.00,0.01,0.01,0.01,Matches,dd86e8e4
417,Martín Cáceres,uy URU,DF,Cagliari,it Serie A,34,1987,14,9,832,9.2,1,1,1,0,0,3,1,0.11,0.11,0.22,0.11,0.22,0.3,0.3,0.4,0.7,0.03,0.04,0.07,0.03,0.07,Matches,e94d79e3
418,Martín Cáceres,uy URU,DF,Levante,es La Liga,34,1987,10,9,663,7.4,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.1,0.00,0.02,0.02,0.00,0.02,Matches,e94d79e3
419,Anthony Caci,fr FRA,DF,Strasbourg,fr Ligue 1,24,1997,37,26,2395,26.6,1,3,1,0,0,4,0,0.04,0.11,0.15,0.04,0.15,1.2,1.2,4.0,5.2,0.04,0.15,0.19,0.04,0.19,Matches,0118c54c
420,Mathieu Cafaro,fr FRA,FWMF,Reims,fr Ligue 1,24,1997,4,3,192,2.1,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.3,0.5,0.11,0.14,0.25,0.11,0.25,Matches,2a657da0
421,Yannick Cahuzac,fr FRA,MF,Lens,fr Ligue 1,36,1985,17,6,618,6.9,0,0,0,0,0,1,1,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.1,0.00,0.01,0.01,0.00,0.01,Matches,677ee102
422,Felipe Caicedo,ec ECU,FW,Genoa,it Serie A,32,1988,9,1,284,3.2,1,2,1,0,0,1,0,0.32,0.63,0.95,0.32,0.95,1.2,1.2,0.9,2.2,0.39,0.29,0.68,0.39,0.68,Matches,93b891d1
423,Felipe Caicedo,ec ECU,FW,Inter,it Serie A,32,1988,3,0,23,0.3,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.2,0.2,0.00,0.67,0.67,0.00,0.67,Matches,93b891d1
424,Moisés Caicedo,ec ECU,MF,Brighton,eng Premier League,19,2001,8,8,660,7.3,1,1,1,0,0,2,0,0.14,0.14,0.27,0.14,0.27,0.8,0.8,0.4,1.1,0.10,0.05,0.16,0.10,0.16,Matches,16264a81
425,Marc-Aurèle Caillard,fr FRA,GK,Metz,fr Ligue 1,27,1994,19,17,1542,17.1,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,5ee6e943
426,Jens Cajuste,se SWE,MF,Reims,fr Ligue 1,21,1999,8,4,364,4.0,2,0,1,1,1,0,0,0.49,0.00,0.49,0.25,0.25,1.9,1.1,0.1,1.2,0.46,0.02,0.48,0.28,0.29,Matches,928a4a61
427,Cala,es ESP,DF,Cádiz,es La Liga,31,1989,14,10,947,10.5,0,0,0,0,0,8,1,0.00,0.00,0.00,0.00,0.00,0.6,0.6,0.0,0.6,0.05,0.00,0.05,0.05,0.05,Matches,fe05804b
428,Davide Calabria,it ITA,DF,Milan,it Serie A,24,1996,26,24,2119,23.5,2,2,2,0,0,2,0,0.08,0.08,0.17,0.08,0.17,3.2,3.2,1.4,4.6,0.14,0.06,0.20,0.14,0.20,Matches,2146785a
429,Riccardo Calafiori,it ITA,DF,Genoa,it Serie A,19,2002,3,1,82,0.9,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.05,0.00,0.05,0.05,0.05,Matches,aded8e6f
430,Riccardo Calafiori,it ITA,DF,Roma,it Serie A,19,2002,6,2,174,1.9,0,1,0,0,0,2,0,0.00,0.52,0.52,0.00,0.52,0.0,0.0,0.8,0.8,0.00,0.41,0.41,0.00,0.41,Matches,aded8e6f
431,Mattia Caldara,it ITA,DF,Venezia,it Serie A,27,1994,31,30,2704,30.0,1,0,1,0,0,9,0,0.03,0.00,0.03,0.03,0.03,1.7,1.7,0.0,1.7,0.06,0.00,0.06,0.06,0.06,Matches,ac7e640b
432,Calderón,es ESP,DF,Betis,es La Liga,21,2000,1,0,65,0.7,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.1,0.00,0.19,0.19,0.00,0.19,Matches,da4e70e5
433,Fernando Calero,es ESP,DF,Espanyol,es La Liga,25,1995,16,13,1090,12.1,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.1,0.2,0.01,0.01,0.02,0.01,0.02,Matches,41b3069f
434,Duje Ćaleta-Car,hr CRO,DF,Marseille,fr Ligue 1,24,1996,26,24,2057,22.9,2,0,2,0,0,6,0,0.09,0.00,0.09,0.09,0.09,1.6,1.6,0.7,2.2,0.07,0.03,0.10,0.07,0.10,Matches,94f8d10c
435,Hakan Çalhanoğlu,tr TUR,MF,Inter,it Serie A,27,1994,34,33,2480,27.6,7,12,4,3,3,11,0,0.25,0.44,0.69,0.15,0.58,6.5,3.9,8.3,12.2,0.23,0.30,0.54,0.14,0.44,Matches,cd0fa27b
436,Daniel Caligiuri,it ITA,DFMF,Augsburg,de Bundesliga,33,1988,28,24,2004,22.3,4,2,1,3,3,4,0,0.18,0.09,0.27,0.04,0.13,4.1,1.9,2.5,4.3,0.19,0.11,0.30,0.08,0.19,Matches,d1273f09
437,José Callejón,es ESP,FW,Fiorentina,it Serie A,34,1987,30,16,1298,14.4,1,2,1,0,0,0,0,0.07,0.14,0.21,0.07,0.21,1.7,1.7,3.0,4.8,0.12,0.21,0.33,0.12,0.33,Matches,78841da9
438,Lucas Calodat,fr FRA,DF,Saint-Étienne,fr Ligue 1,19,2002,1,0,4,0.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,7a72e960
439,Dominic Calvert-Lewin,eng ENG,FW,Everton,eng Premier League,24,1997,17,15,1283,14.3,5,2,3,2,3,2,0,0.35,0.14,0.49,0.21,0.35,6.8,4.6,1.8,6.4,0.48,0.13,0.61,0.32,0.45,Matches,59e6e5bf
440,Mahdi Camara,fr FRA,MFDF,Saint-Étienne,fr Ligue 1,23,1998,35,34,3073,34.1,3,0,3,0,0,8,0,0.09,0.00,0.09,0.09,0.09,2.5,2.5,1.9,4.4,0.07,0.06,0.13,0.07,0.13,Matches,8577e60a
441,Mamadou Camara,fr FRA,FW,Troyes,fr Ligue 1,20,2001,3,0,40,0.4,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.1,0.16,0.00,0.16,0.16,0.16,Matches,316e70c7
442,Víctor Camarasa,es ESP,MFFW,Betis,es La Liga,27,1994,7,0,108,1.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.01,0.00,0.01,0.01,0.01,Matches,b2d03887
443,Eduardo Camavinga,fr FRA,MF,Real Madrid,es La Liga,18,2002,26,13,1236,13.7,2,1,2,0,0,8,0,0.15,0.07,0.22,0.15,0.22,1.0,1.0,1.2,2.2,0.07,0.09,0.16,0.07,0.16,Matches,7b9c2d84
444,Eduardo Camavinga,fr FRA,MF,Rennes,fr Ligue 1,18,2002,4,1,143,1.6,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.01,0.01,0.00,0.01,Matches,7b9c2d84
445,Andrea Cambiaso,it ITA,DF,Genoa,it Serie A,21,2000,26,21,1790,19.9,1,4,1,0,0,5,1,0.05,0.20,0.25,0.05,0.25,0.7,0.7,1.8,2.5,0.04,0.09,0.13,0.04,0.13,Matches,247ed022
446,José Campaña,es ESP,MF,Levante,es La Liga,28,1993,20,16,1422,15.8,2,2,2,0,1,6,1,0.13,0.13,0.25,0.13,0.25,1.6,0.8,1.4,2.2,0.10,0.09,0.19,0.05,0.14,Matches,61220da2
447,Chem Campbell,wls WAL,MF,Wolves,eng Premier League,18,2002,1,0,13,0.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,6f711f67
448,Emre Can,de GER,DFMF,Dortmund,de Bundesliga,27,1994,24,19,1690,18.8,5,1,1,4,4,5,0,0.27,0.05,0.32,0.05,0.11,3.2,0.1,0.7,0.8,0.17,0.04,0.21,0.01,0.05,Matches,a65ce836
449,Sergio Canales,es ESP,FWMF,Betis,es La Liga,30,1991,34,33,2791,31.0,5,8,5,0,0,6,0,0.16,0.26,0.42,0.16,0.42,4.7,4.7,5.1,9.8,0.15,0.16,0.32,0.15,0.32,Matches,a6de370d
450,Matteo Cancellieri,it ITA,MFDF,Hellas Verona,it Serie A,19,2002,12,1,227,2.5,1,0,1,0,0,1,0,0.40,0.00,0.40,0.40,0.40,0.2,0.2,0.2,0.4,0.07,0.10,0.17,0.07,0.17,Matches,b6a1cdf9
451,João Cancelo,pt POR,DF,Manchester City,eng Premier League,27,1994,36,36,3227,35.9,1,7,1,0,0,7,0,0.03,0.20,0.22,0.03,0.22,4.1,4.1,5.1,9.3,0.12,0.14,0.26,0.12,0.26,Matches,bd6351cd
452,Fali Candé,gw GNB,DF,Metz,fr Ligue 1,23,1998,11,11,973,10.8,0,2,0,0,0,2,0,0.00,0.18,0.18,0.00,0.18,0.2,0.2,1.5,1.7,0.02,0.14,0.16,0.02,0.16,Matches,3cc4bb19
453,Antonio Candreva,it ITA,MFFW,Sampdoria,it Serie A,34,1987,36,36,3119,34.7,7,10,6,1,2,6,1,0.20,0.29,0.49,0.17,0.46,6.0,4.5,6.7,11.1,0.17,0.19,0.36,0.13,0.32,Matches,356c9002
454,Sergi Canós,es ESP,DF,Brentford,eng Premier League,24,1997,31,25,2083,23.1,3,2,3,0,0,8,1,0.13,0.09,0.22,0.13,0.22,3.0,3.0,1.9,4.9,0.13,0.08,0.21,0.13,0.21,Matches,1137759d
455,Álex Cantero,es ESP,FWMF,Levante,es La Liga,21,2000,25,4,610,6.8,0,1,0,0,0,1,0,0.00,0.15,0.15,0.00,0.15,2.7,2.7,0.6,3.3,0.39,0.09,0.48,0.39,0.48,Matches,4aa253fd
456,Todd Cantwell,eng ENG,FWMF,Norwich City,eng Premier League,23,1998,8,5,441,4.9,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.2,0.4,0.03,0.04,0.07,0.03,0.07,Matches,f63d8a4b
457,Ander Capa,es ESP,DF,Athletic Club,es La Liga,29,1992,1,0,4,0.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.74,0.00,0.74,0.74,0.74,Matches,37f1cf47
458,Pierrick Capelle,fr FRA,MFDF,Angers,fr Ligue 1,34,1987,30,12,1193,13.3,0,1,0,0,0,1,0,0.00,0.08,0.08,0.00,0.08,1.1,1.1,0.8,1.9,0.09,0.06,0.14,0.09,0.14,Matches,79b2399c
459,Leonardo Capezzi,it ITA,MF,Salernitana,it Serie A,26,1995,5,2,175,1.9,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,07ea0ef2
460,Étienne Capoue,fr FRA,MF,Villarreal,es La Liga,33,1988,30,26,2290,25.4,1,1,1,0,0,9,0,0.04,0.04,0.08,0.04,0.08,0.6,0.6,0.9,1.4,0.02,0.03,0.06,0.02,0.06,Matches,5acc4a10
461,Gianluca Caprari,it ITA,FWMF,Hellas Verona,it Serie A,28,1993,35,33,2739,30.4,12,7,10,2,2,4,0,0.39,0.23,0.62,0.33,0.56,7.3,5.7,6.8,12.5,0.24,0.22,0.46,0.19,0.41,Matches,54e53b7e
462,Francesco Caputo,it ITA,FW,Sassuolo,it Serie A,33,1987,2,2,156,1.7,0,1,0,0,0,1,0,0.00,0.58,0.58,0.00,0.58,0.7,0.7,0.4,1.0,0.39,0.21,0.60,0.39,0.60,Matches,5bd72174
463,Francesco Caputo,it ITA,FW,Sampdoria,it Serie A,33,1987,36,31,2790,31.0,11,3,11,0,1,0,0,0.35,0.10,0.45,0.35,0.45,10.8,9.8,3.4,13.3,0.35,0.11,0.46,0.32,0.43,Matches,5bd72174
464,Maxence Caqueret,fr FRA,MF,Lyon,fr Ligue 1,21,2000,31,26,2335,25.9,0,0,0,0,0,5,0,0.00,0.00,0.00,0.00,0.00,1.0,1.0,1.7,2.7,0.04,0.06,0.10,0.04,0.10,Matches,f81ef10d
465,Andrea Carboni,it ITA,DF,Cagliari,it Serie A,20,2001,30,25,2215,24.6,0,0,0,0,0,6,0,0.00,0.00,0.00,0.00,0.00,0.6,0.6,0.2,0.8,0.02,0.01,0.03,0.02,0.03,Matches,f7e2af2c
466,Isaac Carcelen,es ESP,DFMF,Cádiz,es La Liga,28,1993,25,17,1544,17.2,0,1,0,0,0,2,0,0.00,0.06,0.06,0.00,0.06,0.5,0.5,0.6,1.2,0.03,0.04,0.07,0.03,0.07,Matches,c4b888df
467,Cárdenas,es ESP,GK,Levante,es La Liga,24,1997,24,24,2160,24.0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,e1846dde
468,Irvin Cardona,fr FRA,FWMF,Brest,fr Ligue 1,23,1997,32,13,1334,14.8,4,2,4,0,0,2,0,0.27,0.13,0.40,0.27,0.40,3.4,3.4,2.1,5.6,0.23,0.14,0.38,0.23,0.38,Matches,5e080f73
469,Igor Carioca,br BRA,DF,Lorient,fr Ligue 1,24,1996,28,17,1578,17.5,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,0.6,0.6,1.2,1.8,0.03,0.07,0.10,0.03,0.10,Matches,e3e32fbb
470,Carlo,es ESP,MF,Villarreal,es La Liga,20,2001,1,0,7,0.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,8249ff06
471,Diego Carlos,br BRA,DF,Sevilla,es La Liga,28,1993,34,34,2957,32.9,3,0,3,0,0,4,1,0.09,0.00,0.09,0.09,0.09,2.5,2.5,0.3,2.8,0.08,0.01,0.09,0.08,0.09,Matches,b4a014b1
472,Carmona,es ESP,DF,Sevilla,es La Liga,19,2002,1,0,24,0.3,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,2dce876a
473,Yannick Carrasco,be BEL,DFMF,Atlético Madrid,es La Liga,27,1993,34,28,2583,28.7,6,6,4,2,2,5,0,0.21,0.21,0.42,0.14,0.35,6.1,4.6,6.2,10.8,0.21,0.22,0.43,0.16,0.38,Matches,de39485a
474,Guido Carrillo,ar ARG,FW,Elche,es La Liga,30,1991,29,11,1168,13.0,2,0,2,0,0,3,0,0.15,0.00,0.15,0.15,0.15,2.9,2.9,0.2,3.1,0.22,0.01,0.24,0.22,0.24,Matches,8f898ba8
475,Dani Carvajal,es ESP,DF,Real Madrid,es La Liga,29,1992,24,17,1551,17.2,1,3,1,0,0,1,0,0.06,0.17,0.23,0.06,0.23,0.5,0.5,2.4,2.9,0.03,0.14,0.17,0.03,0.17,Matches,4958bfb2
476,William Carvalho,pt POR,MF,Betis,es La Liga,29,1992,33,20,1805,20.1,2,3,2,0,0,6,0,0.10,0.15,0.25,0.10,0.25,3.1,3.1,1.5,4.6,0.16,0.07,0.23,0.16,0.23,Matches,dee86451
477,Nicolò Casale,it ITA,DF,Hellas Verona,it Serie A,23,1998,36,30,2586,28.7,0,1,0,0,0,10,0,0.00,0.03,0.03,0.00,0.03,0.7,0.7,1.3,2.0,0.03,0.04,0.07,0.03,0.07,Matches,3f5f38fb
478,Casemiro,br BRA,MF,Real Madrid,es La Liga,29,1992,32,31,2569,28.5,1,3,1,0,0,11,0,0.04,0.11,0.14,0.04,0.14,2.4,2.4,2.6,5.0,0.08,0.09,0.18,0.08,0.18,Matches,4d224fe8
479,Matty Cash,pl POL,DF,Aston Villa,eng Premier League,23,1997,38,38,3377,37.5,4,3,4,0,0,8,0,0.11,0.08,0.19,0.11,0.19,2.4,2.4,1.9,4.4,0.07,0.05,0.12,0.07,0.12,Matches,2389cdc2
480,Kiko Casilla,es ESP,GK,Elche,es La Liga,34,1986,14,14,1260,14.0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.1,0.00,0.01,0.01,0.00,0.01,Matches,58bc7d18
481,Moreto Cassamã,gw GNB,MF,Reims,fr Ligue 1,23,1998,17,11,801,8.9,2,0,2,0,0,1,0,0.22,0.00,0.22,0.22,0.22,1.1,1.1,0.5,1.6,0.12,0.06,0.18,0.12,0.18,Matches,f54d2149
482,Francesco Cassata,it ITA,MF,Genoa,it Serie A,24,1997,1,0,7,0.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,96960855
483,Timothy Castagne,be BEL,DF,Leicester City,eng Premier League,25,1995,27,22,2127,23.6,1,0,1,0,0,1,0,0.04,0.00,0.04,0.04,0.04,0.8,0.8,1.3,2.1,0.03,0.05,0.09,0.03,0.09,Matches,197640fd
484,Koen Casteels,be BEL,GK,Wolfsburg,de Bundesliga,29,1992,28,28,2520,28.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,db401046
485,Jean-Charles Castelletto,cm CMR,DF,Nantes,fr Ligue 1,26,1995,28,28,2510,27.9,1,0,1,0,0,8,0,0.04,0.00,0.04,0.04,0.04,1.2,1.2,0.2,1.4,0.04,0.01,0.05,0.04,0.05,Matches,e0f3a1f6
486,Samu Castillejo,es ESP,FWMF,Milan,it Serie A,26,1995,5,1,125,1.4,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.2,0.3,0.08,0.13,0.21,0.08,0.21,Matches,130a7a3f
487,Gonzalo Castro,de GER,MFFW,Arminia,de Bundesliga,34,1987,12,4,436,4.8,1,1,1,0,0,0,0,0.21,0.21,0.41,0.21,0.41,0.6,0.6,0.3,0.9,0.13,0.06,0.19,0.13,0.19,Matches,68829001
488,Jonny Castro,es ESP,DF,Wolves,eng Premier League,27,1994,13,10,1024,11.4,2,0,2,0,0,1,0,0.18,0.00,0.18,0.18,0.18,0.8,0.8,1.2,2.0,0.07,0.10,0.17,0.07,0.17,Matches,e28868f3
489,Gaetano Castrovilli,it ITA,MF,Fiorentina,it Serie A,24,1997,23,16,1391,15.5,1,1,1,0,0,4,0,0.06,0.06,0.13,0.06,0.13,1.2,1.2,1.6,2.8,0.08,0.10,0.18,0.08,0.18,Matches,0728bebe
490,Danilo Cataldi,it ITA,MF,Lazio,it Serie A,26,1994,32,19,1707,19.0,1,2,1,0,0,8,0,0.05,0.11,0.16,0.05,0.16,0.4,0.4,2.4,2.8,0.02,0.13,0.15,0.02,0.15,Matches,ba3d3bea
491,Catena,es ESP,DF,Rayo Vallecano,es La Liga,26,1994,36,36,3240,36.0,2,2,2,0,0,8,0,0.06,0.06,0.11,0.06,0.11,1.6,1.6,0.7,2.3,0.04,0.02,0.06,0.04,0.06,Matches,274ab13c
492,Craig Cathcart,nir NIR,DF,Watford,eng Premier League,32,1989,31,27,2396,26.6,0,1,0,0,0,3,0,0.00,0.04,0.04,0.00,0.04,0.1,0.1,0.3,0.5,0.00,0.01,0.02,0.00,0.02,Matches,89e4b358
493,Edinson Cavani,uy URU,FW,Manchester Utd,eng Premier League,34,1987,15,7,766,8.5,2,1,2,0,0,0,0,0.23,0.12,0.35,0.23,0.35,3.4,3.4,1.4,4.7,0.39,0.16,0.55,0.39,0.55,Matches,527f063d
494,Dani Ceballos,es ESP,MF,Real Madrid,es La Liga,24,1996,11,2,276,3.1,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.7,0.7,0.1,0.8,0.22,0.04,0.27,0.22,0.27,Matches,c0617e2b
495,Pietro Ceccaroni,it ITA,DF,Venezia,it Serie A,25,1995,35,35,3122,34.7,2,1,2,0,0,7,1,0.06,0.03,0.09,0.06,0.09,2.1,2.1,0.3,2.4,0.06,0.01,0.07,0.06,0.07,Matches,4d1efb48
496,Federico Ceccherini,it ITA,DF,Hellas Verona,it Serie A,29,1992,34,29,2358,26.2,1,0,1,0,0,12,1,0.04,0.00,0.04,0.04,0.04,1.8,1.8,0.7,2.6,0.07,0.03,0.10,0.07,0.10,Matches,d9624b51
497,Emil Ceide,no NOR,FWDF,Sassuolo,it Serie A,19,2001,6,0,53,0.6,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,98a84572
498,Zeki Çelik,tr TUR,DF,Lille,fr Ligue 1,24,1997,32,30,2696,30.0,2,3,2,0,0,10,0,0.07,0.10,0.17,0.07,0.17,1.4,1.4,2.0,3.3,0.05,0.07,0.11,0.05,0.11,Matches,31a62dc7
499,Fabien Centonze,fr FRA,DF,Metz,fr Ligue 1,25,1996,19,18,1586,17.6,4,1,4,0,0,3,0,0.23,0.06,0.28,0.23,0.28,0.9,0.9,0.6,1.4,0.05,0.03,0.08,0.05,0.08,Matches,3c6bbbab
500,Luca Ceppitelli,it ITA,DF,Cagliari,it Serie A,31,1989,24,16,1445,16.1,1,1,1,0,0,3,0,0.06,0.06,0.12,0.06,0.12,0.6,0.6,0.0,0.6,0.04,0.00,0.04,0.04,0.04,Matches,7d50454d
501,Franco Cervi,ar ARG,MF,Celta Vigo,es La Liga,27,1994,33,21,1801,20.0,4,3,4,0,0,5,0,0.20,0.15,0.35,0.20,0.35,2.8,2.8,1.3,4.1,0.14,0.06,0.21,0.14,0.21,Matches,5e1028e5
502,Leonardo César Jardim,br BRA,GK,Lille,fr Ligue 1,26,1995,17,17,1530,17.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,f5dfc256
503,Damir Ceter,co COL,FW,Cagliari,it Serie A,23,1997,1,0,6,0.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,eade5337
504,Julian Chabot,de GER,DF,Köln,de Bundesliga,23,1998,4,2,209,2.3,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,ae7058f9
505,Julian Chabot,de GER,DF,Sampdoria,it Serie A,23,1998,11,4,490,5.4,0,0,0,0,0,5,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.1,0.02,0.00,0.02,0.02,0.02,Matches,ae7058f9
506,El Chadaille Bitshiabu,fr FRA,DF,Paris S-G,fr Ligue 1,16,2005,1,0,5,0.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,2180c761
507,Nassim Chadli,fr FRA,MFDF,Troyes,fr Ligue 1,20,2001,8,1,96,1.1,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.0,0.2,0.19,0.03,0.21,0.19,0.21,Matches,5c61496e
508,Kayky Chagas,br BRA,FW,Manchester City,eng Premier League,18,2003,1,0,7,0.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,17734ea0
509,Mehdi Chahiri,ma MAR,MF,Strasbourg,fr Ligue 1,25,1996,1,0,16,0.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches,1787195f
510,Trevoh Chalobah,eng ENG,DF,Chelsea,eng Premier League,22,1999,20,17,1449,16.1,3,1,3,0,0,2,0,0.19,0.06,0.25,0.19,0.25,1.0,1.0,0.2,1.2,0.06,0.01,0.08,0.06,0.08,Matches,5515376c
511,Calum Chambers,eng ENG,DF,Arsenal,eng Premier League,26,1995,2,2,170,1.9,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.1,0.1,0.05,0.03,0.07,0.05,0.07,Matches,dc6f5bdd
512,Calum Chambers,eng ENG,DF,Aston Villa,eng Premier League,26,1995,11,9,831,9.2,1,0,1,0,0,1,0,0.11,0.00,0.11,0.11,0.11,0.2,0.2,0.1,0.4,0.02,0.01,0.04,0.02,0.04,Matches,dc6f5bdd
513,Dylan Chambost,fr FRA,MFFW,Troyes,fr Ligue 1,23,1997,19,9,753,8.4,0,1,0,0,0,0,0,0.00,0.12,0.12,0.00,0.12,0.5,0.5,0.6,1.1,0.06,0.07,0.13,0.06,0.13,Matches,dbde4959
514,Timothy Chandler,us USA,DF,Eint Frankfurt,de Bundesliga,31,1990,17,15,1212,13.5,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,0.5,0.5,0.6,1.1,0.04,0.05,0.08,0.04,0.08,Matches,b3b7f5a6
515,Chapela,es ESP,MFFW,Cádiz,es La Liga,22,1999,9,4,398,4.4,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.2,0.2,0.02,0.03,0.05,0.02,0.05,Matches,9ed40a69
516,Brendan Chardonnet,fr FRA,DF,Brest,fr Ligue 1,26,1994,32,31,2686,29.8,3,0,3,0,0,6,1,0.10,0.00,0.10,0.10,0.10,1.5,1.5,0.4,2.0,0.05,0.01,0.07,0.05,0.07,Matches,16aa7d4c
517,Xavier Chavalerin,fr FRA,MFFW,Troyes,fr Ligue 1,30,1991,34,31,2717,30.2,5,2,5,0,0,4,0,0.17,0.07,0.23,0.17,0.23,1.9,1.9,2.8,4.8,0.06,0.09,0.16,0.06,0.16,Matches,279ddf6a
518,Xavier Chavalerin,fr FRA,MFDF,Reims,fr Ligue 1,30,1991,3,2,220,2.4,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.1,0.4,0.09,0.06,0.15,0.09,0.15,Matches,279ddf6a
