,,,,,,,,,Standard,,,,,,,,,,,,Expected,,,,,
30,Nayef Aguerd,ma MAR,DF,Rennes,fr Ligue 1,24,1996,35.0,3,29,6,20.7,0.83,0.17,0.10,0.50,8.8,0,0,0,2.9,2.9,0.10,+0.1,+0.1,Matches
31,Sergio Agüero,ar ARG,FWMF,Manchester City,eng Premier League,32,1988,6.2,4,17,10,58.8,2.74,1.61,0.18,0.30,13.9,0,1,2,3.4,1.8,0.11,+0.6,+1.2,Matches
32,Ruben Aguilar,fr FRA,DFFW,Monaco,fr Ligue 1,27,1993,24.7,1,8,3,37.5,0.32,0.12,0.13,0.33,9.6,0,0,0,1.2,1.2,0.15,-0.2,-0.2,Matches
33,Naouirou Ahamada,fr FRA,MF,Stuttgart,de Bundesliga,18,2002,2.8,0,5,1,20.0,1.79,0.36,0.00,0.00,22.4,0,0,0,0.3,0.3,0.07,-0.3,-0.3,Matches
34,Matteo Ahlinvi,bj BEN,MF,Nîmes,fr Ligue 1,21,1999,10.0,2,11,6,54.5,1.10,0.60,0.18,0.33,21.8,0,0,0,1.6,1.6,0.14,+0.4,+0.4,Matches
35,Cheikh Ahmadou Dieng,sn SEN,FW,Marseille,fr Ligue 1,20,2000,1.4,0,1,0,0.0,0.70,0.00,0.00,,4.1,0,0,0,0.2,0.2,0.16,-0.2,-0.2,Matches
36,Jean-Eudes Aholou,ci CIV,MF,Strasbourg,fr Ligue 1,26,1994,23.8,2,31,6,19.4,1.30,0.25,0.06,0.33,20.9,0,0,0,2.3,2.0,0.06,-0.3,0.0,Matches
37,Jean-Eudes Aholou,ci CIV,MF,Monaco,fr Ligue 1,26,1994,0.4,0,2,1,50.0,5.00,2.50,0.00,0.00,15.0,0,0,0,0.1,0.1,0.05,-0.1,-0.1,Matches
38,Joseph Aidoo,gh GHA,DF,Celta Vigo,es La Liga,24,1995,14.3,0,9,0,0.0,0.63,0.00,0.00,,14.6,0,0,0,0.8,0.8,0.09,-0.8,-0.8,Matches
39,Ola Aina,ng NGA,DF,Fulham,eng Premier League,23,1996,29.6,2,14,4,28.6,0.47,0.14,0.14,0.50,25.2,1,0,0,1.0,1.0,0.07,+1.0,+1.0,Matches
40,Rayan Aït Nouri,fr FRA,DF,Wolves,eng Premier League,19,2001,15.6,1,16,6,37.5,1.03,0.38,0.06,0.17,19.7,0,0,0,0.6,0.6,0.04,+0.4,+0.4,Matches
41,Rayan Aït Nouri,fr FRA,DF,Angers,fr Ligue 1,19,2001,2.1,0,1,0,0.0,0.48,0.00,0.00,,14.8,0,0,0,0.1,0.1,0.08,-0.1,-0.1,Matches
42,Semi Ajayi,ng NGA,DF,West Brom,eng Premier League,26,1993,30.9,2,13,4,30.8,0.42,0.13,0.15,0.50,9.0,0,0,0,1.3,1.3,0.10,+0.7,+0.7,Matches
43,Ludovic Ajorque,re REU,FW,Strasbourg,fr Ligue 1,26,1994,33.0,16,67,30,44.8,2.03,0.91,0.18,0.40,14.3,0,4,5,16.5,12.7,0.19,-0.5,-0.7,Matches
44,Manuel Akanji,ch SUI,DF,Dortmund,de Bundesliga,25,1995,26.1,2,19,4,21.1,0.73,0.15,0.11,0.50,13.4,0,0,0,1.8,1.8,0.09,+0.2,+0.2,Matches
45,Carlos Akapo,gq EQG,DF,Cádiz,es La Liga,27,1993,9.6,1,2,1,50.0,0.21,0.10,0.50,1.00,23.8,0,0,0,0.4,0.4,0.19,+0.6,+0.6,Matches
46,Marley Aké,fr FRA,FW,Marseille,fr Ligue 1,19,2001,1.6,0,4,0,0.0,2.47,0.00,0.00,,11.1,0,0,0,1.1,1.1,0.27,-1.1,-1.1,Matches
47,Nathan Aké,nl NED,DF,Manchester City,eng Premier League,25,1995,8.9,1,3,1,33.3,0.34,0.11,0.33,1.00,16.0,0,0,0,0.1,0.1,0.04,+0.9,+0.9,Matches
48,Paul Akouokou,ci CIV,MF,Betis,es La Liga,22,1997,4.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
49,Jean-Daniel Akpa-Akpro,ci CIV,MF,Lazio,it Serie A,27,1992,11.7,0,12,1,8.3,1.02,0.09,0.00,0.00,15.5,0,0,0,0.9,0.9,0.07,-0.9,-0.9,Matches
50,Kevin Akpoguma,ng NGA,DF,Hoffenheim,de Bundesliga,25,1995,13.2,1,2,2,100.0,0.15,0.15,0.50,0.50,19.7,0,0,0,0.1,0.1,0.03,+0.9,+0.9,Matches
51,David Alaba,at AUT,DFMF,Bayern Munich,de Bundesliga,28,1992,29.7,2,21,6,28.6,0.71,0.20,0.10,0.33,22.3,3,0,0,1.3,1.3,0.06,+0.7,+0.7,Matches
52,Sofiane Alakouch,fr FRA,DF,Nîmes,fr Ligue 1,22,1998,16.7,0,5,0,0.0,0.30,0.00,0.00,,21.0,0,0,0,0.2,0.2,0.04,-0.2,-0.2,Matches
53,Jony Álamo,es ESP,MF,Elche,es La Liga,18,2001,0.8,0,1,0,0.0,1.23,0.00,0.00,,26.0,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches
54,Lucas Alario,ar ARG,FW,Leverkusen,de Bundesliga,27,1992,13.8,11,37,18,48.6,2.67,1.30,0.24,0.50,12.6,0,2,2,6.5,5.0,0.14,+4.5,+4.0,Matches
55,Jordi Alba,es ESP,DF,Barcelona,es La Liga,31,1989,33.6,3,27,11,40.7,0.80,0.33,0.11,0.27,19.6,1,0,0,2.4,2.4,0.09,+0.6,+0.6,Matches
56,Luis Alberto,es ESP,MF,Lazio,it Serie A,27,1992,29.1,9,69,29,42.0,2.37,1.00,0.13,0.31,20.3,3,0,0,5.5,5.3,0.08,+3.5,+3.7,Matches
57,Raúl Albiol,es ESP,DF,Villarreal,es La Liga,34,1985,34.6,0,8,1,12.5,0.23,0.03,0.00,0.00,13.9,0,0,0,0.6,0.6,0.08,-0.6,-0.6,Matches
58,Marc Albrighton,eng ENG,DFFW,Leicester City,eng Premier League,30,1989,19.4,1,21,9,42.9,1.08,0.46,0.05,0.11,20.9,0,0,0,1.3,1.3,0.06,-0.3,-0.3,Matches
59,Paco Alcácer,es ESP,FW,Villarreal,es La Liga,26,1993,17.2,6,36,18,50.0,2.10,1.05,0.14,0.28,13.7,3,1,2,8.3,6.7,0.20,-2.3,-1.7,Matches
60,Pedro Alcalá,es ESP,DF,Cádiz,es La Liga,31,1989,10.1,0,2,0,0.0,0.20,0.00,0.00,,12.0,0,0,0,0.1,0.1,0.05,-0.1,-0.1,Matches
61,Thiago Alcántara,es ESP,MF,Liverpool,eng Premier League,29,1991,20.6,1,22,5,22.7,1.07,0.24,0.05,0.20,21.0,1,0,0,1.4,1.4,0.06,-0.4,-0.4,Matches
62,Rubén Alcaraz,es ESP,MF,Valladolid,es La Liga,29,1991,24.1,1,27,3,11.1,1.12,0.12,0.04,0.33,24.2,6,0,0,1.7,1.7,0.06,-0.7,-0.7,Matches
63,Omar Alderete,py PAR,DF,Hertha BSC,de Bundesliga,23,1996,14.4,0,7,2,28.6,0.48,0.14,0.00,0.00,13.4,0,0,0,0.5,0.5,0.07,-0.5,-0.5,Matches
64,Toby Alderweireld,be BEL,DF,Tottenham,eng Premier League,31,1989,24.9,1,11,3,27.3,0.44,0.12,0.09,0.33,7.6,0,0,0,0.8,0.8,0.08,+0.2,+0.2,Matches
65,Iván Alejo,es ESP,MFFW,Cádiz,es La Liga,25,1995,9.2,1,13,3,23.1,1.41,0.33,0.08,0.33,17.8,1,0,0,1.0,1.0,0.07,0.0,0.0,Matches
66,Carles Aleñá,es ESP,MF,Barcelona,es La Liga,22,1998,0.5,0,1,0,0.0,1.87,0.00,0.00,,17.5,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches
67,Carles Aleñá,es ESP,MFFW,Getafe,es La Liga,22,1998,15.2,2,30,8,26.7,1.98,0.53,0.07,0.25,21.0,0,0,0,1.9,1.9,0.06,+0.1,+0.1,Matches
68,Rúnar Alex Rúnarsson,is ISL,GK,Arsenal,eng Premier League,25,1995,0.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
69,Trent Alexander-Arnold,eng ENG,DF,Liverpool,eng Premier League,21,1998,33.7,2,56,11,19.6,1.66,0.33,0.04,0.18,23.7,16,0,0,2.8,2.8,0.05,-0.8,-0.8,Matches
70,Alfon,es ESP,MF,Celta Vigo,es La Liga,21,1999,0.4,0,1,1,100.0,2.65,2.65,0.00,0.00,18.4,0,0,0,0.0,0.0,0.05,0.0,0.0,Matches
71,Mohamed Ali Cho,fr FRA,FWMF,Angers,fr Ligue 1,16,2004,3.9,0,10,0,0.0,2.59,0.00,0.00,,12.4,0,0,0,1.4,1.4,0.14,-1.4,-1.4,Matches
72,Ezgjan Alioski,mk MKD,DF,Leeds United,eng Premier League,28,1992,27.3,2,25,8,32.0,0.91,0.29,0.08,0.25,18.6,0,0,0,1.5,1.5,0.06,+0.5,+0.5,Matches
73,Rachid Alioui,ma MAR,FW,Angers,fr Ligue 1,28,1992,0.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
74,Alisson,br BRA,GK,Liverpool,eng Premier League,27,1992,33.0,1,1,1,100.0,0.03,0.03,1.00,1.00,6.0,0,0,0,0.1,0.1,0.10,+0.9,+0.9,Matches
75,Saturnin Allagbé,bj BEN,GK,Dijon,fr Ligue 1,26,1993,12.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
76,Allan,br BRA,MF,Everton,eng Premier League,29,1991,22.8,0,7,2,28.6,0.31,0.09,0.00,0.00,21.8,0,0,0,0.2,0.2,0.03,-0.2,-0.2,Matches
77,Dele Alli,eng ENG,MF,Tottenham,eng Premier League,24,1996,6.9,0,12,4,33.3,1.74,0.58,0.00,0.00,14.2,0,0,0,1.3,1.3,0.11,-1.3,-1.3,Matches
78,Miguel Almirón,py PAR,MFFW,Newcastle Utd,eng Premier League,26,1994,27.0,4,33,13,39.4,1.22,0.48,0.12,0.31,18.4,1,0,0,3.2,3.2,0.10,+0.8,+0.8,Matches
79,Marcos Alonso,es ESP,DF,Chelsea,eng Premier League,29,1990,10.7,2,22,9,40.9,2.06,0.84,0.09,0.22,17.2,5,0,0,1.7,1.7,0.08,+0.3,+0.3,Matches
80,Sergio Álvarez,es ESP,MFDF,Eibar,es La Liga,28,1992,17.4,0,6,2,33.3,0.34,0.11,0.00,0.00,16.1,0,0,0,0.3,0.3,0.05,-0.3,-0.3,Matches
81,Yeray Álvarez,es ESP,DF,Athletic Club,es La Liga,25,1995,21.6,1,11,1,9.1,0.51,0.05,0.09,1.00,14.1,0,0,0,0.5,0.5,0.05,+0.5,+0.5,Matches
82,Bruno Alves,pt POR,DF,Parma,it Serie A,38,1981,18.1,1,10,3,30.0,0.55,0.17,0.10,0.33,22.0,3,0,0,0.3,0.3,0.03,+0.7,+0.7,Matches
83,Steven Alzate,co COL,MFDF,Brighton,eng Premier League,21,1998,10.0,1,7,2,28.6,0.70,0.20,0.14,0.50,17.2,0,0,0,0.7,0.7,0.10,+0.3,+0.3,Matches
84,Ibrahim Amadou,fr FRA,MF,Angers,fr Ligue 1,27,1993,16.7,0,15,5,33.3,0.90,0.30,0.00,0.00,19.0,0,0,0,2.1,2.1,0.14,-2.1,-2.1,Matches
85,Romain Amalfitano,fr FRA,FWDF,Dijon,fr Ligue 1,30,1989,1.3,0,2,0,0.0,1.55,0.00,0.00,,29.4,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches
86,Emmanuel Amankwaa Akurugu,gh GHA,DF,Getafe,es La Liga,18,2001,0.5,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
87,Daniel Amartey,gh GHA,DF,Leicester City,eng Premier League,25,1994,8.0,1,3,1,33.3,0.37,0.12,0.33,1.00,10.8,0,0,0,0.4,0.4,0.13,+0.6,+0.6,Matches
88,Jordan Amavi,fr FRA,DF,Marseille,fr Ligue 1,26,1994,9.0,1,4,1,25.0,0.44,0.11,0.25,1.00,10.9,0,0,0,0.2,0.2,0.05,+0.8,+0.8,Matches
89,Thierry Ambrose,fr FRA,FW,Metz,fr Ligue 1,23,1997,8.4,0,19,7,36.8,2.27,0.84,0.00,0.00,19.8,0,0,0,1.4,1.4,0.07,-1.4,-1.4,Matches
90,Wisdom Amey,it ITA,DF,Bologna,it Serie A,14,2005,0.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
91,Nadiem Amiri,de GER,MF,Leverkusen,de Bundesliga,23,1996,21.0,2,43,14,32.6,2.05,0.67,0.05,0.14,23.5,3,0,0,2.1,2.1,0.05,-0.1,-0.1,Matches
92,Ethan Ampadu,wls WAL,DFMF,Sheffield Utd,eng Premier League,19,2000,23.2,0,7,2,28.6,0.30,0.09,0.00,0.00,17.2,0,0,0,0.3,0.3,0.05,-0.3,-0.3,Matches
93,Sofyan Amrabat,ma MAR,MF,Fiorentina,it Serie A,23,1996,27.1,0,9,3,33.3,0.33,0.11,0.00,0.00,19.4,0,0,0,0.4,0.4,0.05,-0.4,-0.4,Matches
94,Jon Ander Garrido,es ESP,MF,Cádiz,es La Liga,30,1989,8.9,0,5,1,20.0,0.56,0.11,0.00,0.00,12.7,0,0,0,0.4,0.4,0.07,-0.4,-0.4,Matches
95,Joachim Andersen,dk DEN,DF,Fulham,eng Premier League,24,1996,30.3,1,13,3,23.1,0.43,0.10,0.08,0.33,15.4,1,0,0,1.1,1.1,0.08,-0.1,-0.1,Matches
96,Joachim Andersen,dk DEN,DF,Lyon,fr Ligue 1,24,1996,2.1,0,5,0,0.0,2.34,0.00,0.00,,20.0,1,0,0,0.3,0.3,0.06,-0.3,-0.3,Matches
97,Djavan Anderson,nl NED,DF,Lazio,it Serie A,25,1995,0.8,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
98,Elliot Anderson,sct SCO,MF,Newcastle Utd,eng Premier League,17,2002,0.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
99,Felipe Anderson,br BRA,FWMF,West Ham,eng Premier League,27,1993,0.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
100,Sebastian Andersson,se SWE,FW,Köln,de Bundesliga,29,1991,12.5,3,39,14,35.9,3.12,1.12,0.05,0.14,12.4,0,1,1,5.5,4.7,0.12,-2.5,-2.7,Matches
101,Nícolas Andrade,br BRA,GK,Udinese,it Serie A,32,1988,2.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
102,Benjamin André,fr FRA,MF,Lille,fr Ligue 1,29,1990,32.1,0,20,7,35.0,0.62,0.22,0.00,0.00,13.8,0,0,0,1.1,1.1,0.06,-1.1,-1.1,Matches
103,Robert Andrich,de GER,MF,Union Berlin,de Bundesliga,25,1994,28.1,5,40,9,22.5,1.43,0.32,0.13,0.56,22.2,4,0,0,2.5,2.5,0.06,+2.5,+2.5,Matches
104,Victorien Angban,ci CIV,MF,Metz,fr Ligue 1,23,1996,18.6,0,6,1,16.7,0.32,0.05,0.00,0.00,21.1,0,0,0,0.3,0.3,0.05,-0.3,-0.3,Matches
105,Ángel,es ESP,GK,Granada,es La Liga,18,2002,1.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
106,Miguel Ángel Rubio,es ESP,DF,Valladolid,es La Liga,22,1998,1.5,0,1,0,0.0,0.67,0.00,0.00,,8.6,0,0,0,0.0,0.0,0.03,0.0,0.0,Matches
107,José Ángel,es ESP,DF,Eibar,es La Liga,30,1989,10.0,0,2,0,0.0,0.20,0.00,0.00,,27.6,0,0,0,0.0,0.0,0.01,0.0,0.0,Matches
108,Angeliño,es ESP,DFFW,RB Leipzig,de Bundesliga,23,1997,24.0,4,35,13,37.1,1.46,0.54,0.11,0.31,15.8,4,0,0,3.8,3.8,0.11,+0.2,+0.2,Matches
109,Davide Angelo Ghislandi,it ITA,DF,Atalanta,it Serie A,19,2001,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
110,Philip Ankhrah,gh GHA,MF,Hellas Verona,it Serie A,17,2002,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
111,Cristian Ansaldi,ar ARG,DF,Torino,it Serie A,33,1986,21.6,1,16,6,37.5,0.74,0.28,0.00,0.00,23.9,2,1,1,1.7,0.9,0.06,-0.7,-0.9,Matches
112,Waldemar Anton,de GER,DF,Stuttgart,de Bundesliga,24,1996,30.1,0,12,4,33.3,0.40,0.13,0.00,0.00,14.2,0,0,0,1.2,1.2,0.10,-1.2,-1.2,Matches
113,José Antonio Miranda,gq EQG,MFDF,Getafe,es La Liga,22,1998,0.3,0,2,0,0.0,6.92,0.00,0.00,,7.6,0,0,0,0.2,0.2,0.10,-0.2,-0.2,Matches
114,Michail Antonio,eng ENG,FW,West Ham,eng Premier League,30,1990,21.9,10,64,23,35.9,2.92,1.05,0.16,0.43,12.8,0,0,0,11.4,11.4,0.18,-1.4,-1.4,Matches
115,Valentin Antov,bg BUL,DF,Bologna,it Serie A,19,2000,2.6,0,1,0,0.0,0.39,0.00,0.00,,29.8,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches
116,Houssem Aouar,fr FRA,MFFW,Lyon,fr Ligue 1,22,1998,19.8,7,71,25,35.2,3.59,1.26,0.07,0.20,15.9,0,2,2,10.3,8.8,0.12,-3.3,-3.8,Matches
117,Adil Aouchiche,fr FRA,MFFW,Saint-Étienne,fr Ligue 1,18,2002,19.2,2,27,12,44.4,1.40,0.62,0.07,0.17,20.7,2,0,0,3.3,3.3,0.12,-1.3,-1.3,Matches
118,Dennis Appiah,fr FRA,DF,Nantes,fr Ligue 1,28,1992,17.3,0,7,0,0.0,0.40,0.00,0.00,,18.7,0,0,0,0.2,0.2,0.03,-0.2,-0.2,Matches
119,Aritz Arambarri,es ESP,DF,Real Sociedad,es La Liga,22,1998,0.3,0,1,0,0.0,3.46,0.00,0.00,,7.0,0,0,0,0.1,0.1,0.14,-0.1,-0.1,Matches
120,Mauro Arambarri,uy URU,MF,Getafe,es La Liga,24,1995,33.1,3,47,9,19.1,1.42,0.27,0.06,0.33,25.5,6,0,0,2.2,2.2,0.05,+0.8,+0.8,Matches
121,Charles Aránguiz,cl CHI,MF,Leverkusen,de Bundesliga,31,1989,18.5,0,4,2,50.0,0.22,0.11,0.00,0.00,9.7,0,0,0,0.7,0.7,0.17,-0.7,-0.7,Matches
122,Luiz Araújo,br BRA,MF,Lille,fr Ligue 1,24,1996,16.6,4,50,10,20.0,3.01,0.60,0.08,0.40,22.6,1,0,0,3.7,3.7,0.07,+0.3,+0.3,Matches
123,Néstor Araujo,mx MEX,DF,Celta Vigo,es La Liga,28,1991,27.0,0,6,0,0.0,0.22,0.00,0.00,,10.5,0,0,0,0.3,0.3,0.06,-0.3,-0.3,Matches
124,Ronald Araújo,uy URU,DF,Barcelona,es La Liga,21,1999,16.8,2,12,4,33.3,0.72,0.24,0.17,0.50,10.2,0,0,0,1.6,1.6,0.13,+0.4,+0.4,Matches
125,Anaitz Arbilla,es ESP,DF,Eibar,es La Liga,33,1987,31.2,0,27,2,7.4,0.87,0.06,0.00,0.00,26.8,5,0,0,1.2,1.2,0.05,-1.2,-1.2,Matches
126,Alphonse Areola,fr FRA,GK,Fulham,eng Premier League,27,1993,36.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
127,Santiago Arias,co COL,DF,Leverkusen,de Bundesliga,28,1992,1.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
128,Karim Aribi,dz ALG,FW,Nîmes,fr Ligue 1,26,1994,3.3,0,9,2,22.2,2.76,0.61,0.00,0.00,12.3,0,0,0,1.0,1.0,0.11,-1.0,-1.0,Matches
129,Unai Arietaleanizbeaskoa,es ESP,FWMF,Eibar,es La Liga,21,1999,0.5,0,1,0,0.0,1.91,0.00,0.00,,26.0,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches
130,Nicolò Armini,it ITA,DF,Lazio,it Serie A,19,2001,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
131,Stuart Armstrong,sct SCO,MF,Southampton,eng Premier League,28,1992,30.7,4,54,12,22.2,1.76,0.39,0.07,0.33,20.8,0,0,0,3.0,3.0,0.05,+1.0,+1.0,Matches
132,Maximilian Arnold,de GER,MF,Wolfsburg,de Bundesliga,26,1994,28.7,3,54,16,29.6,1.88,0.56,0.06,0.19,28.5,12,0,0,2.0,2.0,0.04,+1.0,+1.0,Matches
133,Toluwalas Arokodare,ng NGA,FW,Köln,de Bundesliga,19,2000,1.2,0,4,1,25.0,3.21,0.80,0.00,0.00,9.9,0,0,0,0.4,0.4,0.11,-0.4,-0.4,Matches
134,Sergio Arribas,es ESP,FWDF,Real Madrid,es La Liga,18,2001,1.5,0,1,1,100.0,0.67,0.67,0.00,0.00,25.3,0,0,0,0.0,0.0,0.04,0.0,0.0,Matches
135,Kepa Arrizabalaga,es ESP,GK,Chelsea,eng Premier League,25,1994,6.5,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
136,Tolgay Arslan,de GER,MF,Udinese,it Serie A,29,1990,20.2,3,22,6,27.3,1.09,0.30,0.14,0.50,20.8,0,0,0,1.0,1.0,0.05,+2.0,+2.0,Matches
